id,kindred_id,bet_offer_name,has_started,home_odd,away_odd,etl_time
849,1008135302,Match Odds,false,1.14,6,2021-10-06 22:01:00 UTC
1011,1008135302,Match Odds,false,1.14,6,2021-10-07 13:01:00 UTC
1025,1008139611,Match Odds,false,1.14,6,2021-10-07 16:01:00 UTC
872,1008135302,Match Odds,false,1.14,6,2021-10-07 04:01:00 UTC
697,1008135302,Match Odds,false,1.14,6,2021-10-06 16:01:00 UTC
936,1008135302,Match Odds,false,1.14,6,2021-10-07 10:01:00 UTC
892,1008135302,Match Odds,false,1.14,6,2021-10-07 07:01:00 UTC
784,1008135302,Match Odds,false,1.14,6,2021-10-06 19:01:00 UTC
351,1008114274,Match Odds,false,1.11,6.25,2021-09-30 16:01:00 UTC
595,1008128838,Match Odds,false,1.11,6.25,2021-10-04 16:01:00 UTC
1180,1008135502,Match Odds,false,1.1,6.5,2021-10-07 22:01:00 UTC
970,1008135502,Match Odds,false,1.1,6.5,2021-10-07 13:01:00 UTC
1110,1008135502,Match Odds,false,1.1,6.5,2021-10-07 19:01:00 UTC
242,1008074501,Match Odds,false,1.1,6.5,2021-09-17 10:01:00 UTC
882,1008135502,Match Odds,false,1.1,6.5,2021-10-07 07:01:00 UTC
1270,1008135502,Match Odds,false,1.1,6.5,2021-10-08 04:01:00 UTC
1029,1008135502,Match Odds,false,1.1,6.5,2021-10-07 16:01:00 UTC
927,1008135502,Match Odds,false,1.1,6.5,2021-10-07 10:01:00 UTC
39,1008081460,Match Odds,false,1.1,6.5,2021-09-19 07:01:00 UTC
4,1008088086,Match Odds,false,1.11,6.75,2021-09-22 13:01:00 UTC
46,1008076191,Match Odds,false,1.09,7,2021-09-18 10:01:00 UTC
13,1008018607,Match Odds,false,1.09,7,2021-09-02 19:01:00 UTC
597,1008128830,Match Odds,false,1.09,7,2021-10-04 16:01:00 UTC
592,1008132686,Match Odds,false,1.1,7,2021-10-05 19:01:00 UTC
902,1008139611,Match Odds,false,1.11,7,2021-10-07 07:01:00 UTC
3,1008074499,Match Odds,false,1.08,7.25,2021-09-17 07:01:00 UTC
306,1008083935,Match Odds,false,1.08,7.5,2021-09-21 10:01:00 UTC
36,1008084648,Match Odds,false,1.08,7.5,2021-09-20 07:01:00 UTC
263,1008084614,Match Odds,false,1.08,7.5,2021-09-20 07:01:00 UTC
509,1008123535,Match Odds,false,1.09,7.5,2021-10-02 13:01:00 UTC
164,1008115550,Match Odds,false,1.09,7.5,2021-09-30 07:01:00 UTC
256,1008104900,Match Odds,false,1.09,7.5,2021-09-29 07:01:00 UTC
288,1008105129,Match Odds,false,1.09,7.5,2021-09-27 04:01:00 UTC
993,1008139611,Match Odds,false,1.1,7.5,2021-10-07 13:01:00 UTC
247,1008074498,Match Odds,false,1.07,7.75,2021-09-17 07:01:00 UTC
941,1008139611,Match Odds,false,1.09,8,2021-10-07 10:01:00 UTC
563,1008132599,Match Odds,false,1.07,8.5,2021-10-05 19:01:00 UTC
226,1008074861,Match Odds,false,1.06,8.5,2021-09-17 13:01:00 UTC
599,1008135311,Match Odds,false,1.08,9,2021-10-06 07:01:00 UTC
721,1008135311,Match Odds,false,1.08,9,2021-10-06 16:01:00 UTC
805,1008135311,Match Odds,false,1.08,9,2021-10-06 19:01:00 UTC
692,1008135311,Match Odds,false,1.08,9,2021-10-06 13:01:00 UTC
636,1008135311,Match Odds,false,1.08,9,2021-10-06 10:01:00 UTC
990,1008135499,Match Odds,false,1.05,9,2021-10-07 13:01:00 UTC
914,1008135499,Match Odds,false,1.05,9,2021-10-07 07:01:00 UTC
938,1008135499,Match Odds,false,1.05,9,2021-10-07 10:01:00 UTC
1050,1008135499,Match Odds,false,1.05,9,2021-10-07 16:01:00 UTC
143,1008101784,Match Odds,false,1.06,9,2021-09-25 16:01:00 UTC
75,1008081834,Match Odds,false,1.05,9.5,2021-09-19 13:01:00 UTC
312,1008103292,Match Odds,false,1.06,9.5,2021-09-26 07:01:00 UTC
240,1008018805,Match Odds,false,1.06,9.5,2021-09-02 19:01:00 UTC
55,1008081468,Match Odds,false,1.04,10,2021-09-19 13:01:00 UTC
149,1008097887,Match Odds,false,1.06,10,2021-09-24 16:01:00 UTC
220,1008076195,Match Odds,false,1.06,10,2021-09-18 10:01:00 UTC
1039,1008136177,Match Odds,false,1.05,10.5,2021-10-07 16:01:00 UTC
318,1008104537,Match Odds,false,1.02,12,2021-09-29 10:01:00 UTC
558,1008128820,Match Odds,false,1.03,12,2021-10-04 16:01:00 UTC
158,1008084602,Match Odds,false,1.03,12.5,2021-09-20 07:01:00 UTC
